Author	n (strains)	publication title	journal	publication URL	strains
Andrey Komissarov et al B	35	unknown	unknown	unknown	hCoV-19/Russia/SPE-RII-34449S/2021,hCoV-19/Crimea/RII-MH3437S/2020,hCoV-19/Russia/MOW-RII-MH16065S/2021,hCoV-19/Russia/SVE-RII-MH197S/2020,hCoV-19/Russia/KGD-RII-MH76269S/2022,hCoV-19/Russia/SVE-RII-MH99867S/2022,hCoV-19/Crimea/RII-MH79850S/2022,hCoV-19/Russia/BA-RII-MH109618S/2022,hCoV-19/Russia/SPE-RII-MH85792S/2022,hCoV-19/Russia/SPE-RII-26807S/2022,hCoV-19/Russia/SPE-RII-23872S/2022,hCoV-19/Russia/KDA-RII-MH181169S/2024,hCoV-19/Russia/KGD-RII-MH177653S/2024,hCoV-19/Russia/SPE-RII-MH165534S/2024,hCoV-19/Russia/KDA-RII-MH194236S/2024,hCoV-19/Russia/ME-RII-MH195462S/2024,hCoV-19/Russia/SPE-RII-MH187282S/2024,hCoV-19/Russia/KDA-RII-MH194219S/2024,hCoV-19/Russia/SPE-RII-MH198738S/2024,hCoV-19/Russia/BA-RII-MH195363S/2024,hCoV-19/Russia/MOS-RII-MH193910S/2024,hCoV-19/Russia/MOW-RII-MH144662S/2023,hCoV-19/Russia/YAN-RII-MH131129S/2023,hCoV-19/Russia/SPE-RII-15520S/2023,hCoV-19/Russia/SPE-RII-MH153612S/2023,hCoV-19/Russia/SAM-RII-MH146370S/2023,hCoV-19/Russia/BA-RII-MH138085S/2023,hCoV-19/Russia/SPE-RII-22579S/2023,hCoV-19/Russia/MAG-RII-MH138477S/2023,hCoV-19/Russia/TYU-RII-MH144118S/2023,hCoV-19/Russia/MOW-RII-MH130352S/2023,hCoV-19/Russia/SPE-RII-MH158361S/2023,hCoV-19/Russia/MOW-RII-MH143995S/2023,hCoV-19/Russia/MOS-RII-MH121508S/2022,hCoV-19/Russia/PRI-RII-MH144243S/2023
Nir Rainy et al	2	unknown	unknown	unknown	hCoV-19/Israel/SMC-7004573/2021,hCoV-19/Israel/SMC-7114937/2023
Liidia Dotsenko et al.	1	unknown	unknown	unknown	hCoV-19/Estonia/RC0173474/2021
Arsen Arakelyan et al	3	unknown	unknown	unknown	hCoV-19/Armenia/IMB11-12/2021,hCoV-19/Armenia/IMB8-6/2021,hCoV-19/Armenia/IMB1-4/2021
Alisher Abdullaev et al	1	unknown	unknown	unknown	hCoV-19/Uzbekistan/370/2021
Samoilov A.E. et al	4	unknown	unknown	unknown	hCoV-19/Russia/SMO-CRIE-L219H0097u/2021,hCoV-19/Russia/MOW-CRIE-L219V0045u_6637/2021,hCoV-19/Russia/MAG-CRIE-L219B0044u_4671/2021,hCoV-19/Russia/IVA-CRIE-L188V0189/2021
Marion Barbet et al	3	unknown	unknown	unknown	hCoV-19/France/PDL-IPP29505/2021,hCoV-19/France/CVL-IPP49153/2022,hCoV-19/France/HDF-IPP59732/2022
Jinnethe Reyes et al	1	unknown	unknown	unknown	hCoV-19/Colombia/DC-UGRA-VG-10350/2021
M.Tukalo et al.	2	unknown	unknown	unknown	hCoV-19/Ukraine/11-66620/2021,hCoV-19/Ukraine/68-69056/2022
Yi Sun et al	5	unknown	unknown	unknown	hCoV-19/Zhejiang/ZPCDCP-35/2021,hCoV-19/Zhejiang/ZPCDCP-33/2021,hCoV-19/Zhejiang/ZPCDCP-46/2022,hCoV-19/Zhejiang/ZPCDCP-130/2022,hCoV-19/Zhejiang/ZPCDCP-140/2022
Mikhaylov et al	9	unknown	unknown	unknown	hCoV-19/Russia/MOW-CSP-LQ-5553_S54/2021,hCoV-19/Russia/MOW-CSP-LQ-6591_S157/2021,hCoV-19/Russia/MOW-CSP-LQ-14298_S7/2021,hCoV-19/Russia/MOW-CSP-LQ-3019_S41/2021,hCoV-19/Russia/AST-CSP-EPIC-22628_S14/2020,hCoV-19/Russia/VGG-CSP-19245_S62/2020,hCoV-19/Russia/SPE-CSP-856_S63/2020,hCoV-19/Russia/MOW-CSP-3-2-R_S6/2020,hCoV-19/Russia/MOW-CSP-KOM-362_S34/2020
Mazur-Panasiuk et al	2	unknown	unknown	unknown	hCoV-19/Poland/PL_P3628/2021,hCoV-19/Poland/PL_P4425/2021
Qin et al	1	unknown	unknown	unknown	hCoV-19/Beijing/KLHDCM-0000002-Delta-1/2021
He et al	2	unknown	unknown	unknown	hCoV-19/Hunan/CS-LSI002/2021,hCoV-19/Hunan/CS-LSI001/2021
Gongfei Wang et al	1	unknown	unknown	unknown	hCoV-19/Anhui/WHCDC-001/2021
Xinfa Pei et al	1	unknown	unknown	unknown	hCoV-19/Heilongjiang/IVDC-HH-464/2021
Xiaohua Zheng et al	1	unknown	unknown	unknown	hCoV-19/Heilongjiang/IVDC-HH-477/2021
Wei Sun et al	6	unknown	unknown	unknown	hCoV-19/Heilongjiang/IVDC-HH-351/2021,hCoV-19/Heilongjiang/IVDC-HH-352/2021,hCoV-19/Heilongjiang/IVDC-HEB-509/2021,hCoV-19/Heilongjiang/IVDC-HH/235/2020,hCoV-19/Heilongjiang/IVDC-HH/234/2020,hCoV-19/Heilongjiang/IVDC-HEB-251/2021
Yan Leng et al	1	unknown	unknown	unknown	hCoV-19/Heilongjiang/IVDC-HH-433/2021
Elena Gasich et al	1	unknown	unknown	unknown	hCoV-19/Belarus/VI-RRPCEM-VIS_10011/2021
Haibo Sun et al	5	unknown	unknown	unknown	hCoV-19/Liaoning/IVDC-DL-25/2021,hCoV-19/Liaoning/IVDC-DL-91/2021,hCoV-19/Liaoning/IVDC-DL-106/2021,hCoV-19/Liaoning/IVDC-DL-93/2021,hCoV-19/Liaoning/IVDC-YK-218/2021
Xingying Lang et al	1	unknown	unknown	unknown	hCoV-19/Liaoning/IVDC-DL-206/2021
Elzbieta Justynska et al	3	unknown	unknown	unknown	hCoV-19/Poland/WSSEGorzow-21S2391/2021,hCoV-19/Poland/WSSEGorzow-22S2422/2022,hCoV-19/Poland/WSSEGorzow-24S0240/2024
Quanbo Hu et al	1	unknown	unknown	unknown	hCoV-19/Heilongjiang/IVDC-HEB-533/2021
Hua Hua et al	1	unknown	unknown	unknown	hCoV-19/Heilongjiang/IVDC-HEB-515/2021
Azzania Fibriani et al	6	unknown	unknown	unknown	hCoV-19/Indonesia/JB-GS-WJHL-ITB-W040/2021,hCoV-19/Indonesia/JB-WJHL-ITB-A63405/2020,hCoV-19/Indonesia/JB-GS-WJHL-ITB-GS-024/2020,hCoV-19/Indonesia/JB-NIHRD-ITB-N1935/2022,hCoV-19/Indonesia/JB-WJHL-ITB-SITH-W05613/2023,hCoV-19/Indonesia/JB-WJHL-ITB-SITH-W05614/2023
Reinhart Gabriel et al	2	unknown	unknown	unknown	hCoV-19/Indonesia/SB-GSILab-626499/2021,hCoV-19/Indonesia/JK-GS-GSILab-858672/2022
Willy Agustine et al	2	unknown	unknown	unknown	hCoV-19/Indonesia/KI-EIJK-NIHRD-247/2021,hCoV-19/Indonesia/KI-EIJK-NIHRD-229/2021
Jessica R Saragih et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JA-GS-EIJK-RSRM-0124/2021
Dian Pitaloka Rajagukguk et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/RI-GS-GSILab-843381/2021
Triyani Soekarso et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JK-NIHRD-MI.21.14298/2021
Fera Ibrahim et al	3	unknown	unknown	unknown	hCoV-19/Indonesia/KI-GS-FKUINIHRD-0154/2021,hCoV-19/Indonesia/JK-FKUINIHRD-11439/2022,hCoV-19/Indonesia/JB-FKUINIHRD-WGS.22.17511/2022
Arie Ardiansyah Nugraha et al	14	unknown	unknown	unknown	hCoV-19/Indonesia/SA-NIHRD-WGS11871/2021,hCoV-19/Indonesia/JI-NIHRD-WGS01183/2021,hCoV-19/Indonesia/BA-NIHRD-WGS-22-04752/2022,hCoV-19/Indonesia/KS-BIOKES-I_BPP1673/2023,hCoV-19/Indonesia/JK-NIHRD-W03881/2023,hCoV-19/Indonesia/JK-BIOKES-W00377/2024,hCoV-19/Indonesia/JK-BIOKES-W04171/2023,hCoV-19/Indonesia/JB-BIOKES-W00428/2024,hCoV-19/Indonesia/JK-BIOKES-W00397/2024,hCoV-19/Indonesia/JK-BIOKES-W00505/2024,hCoV-19/Indonesia/SU-BIOKES-IK_KNO0010/2024,hCoV-19/Indonesia/YO-BIOKES-W00506/2024,hCoV-19/Indonesia/JK-BIOKES-W00382/2024,hCoV-19/Indonesia/BT-BIOKES-W00485/2024
DR.BHABATOSH DAS et al	1	unknown	unknown	unknown	hCoV-19/India/JK-609123266/2021
F. Kirimi et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/AKU-FEB-RUN-MIN-17/2021
Hongxia Ma et al	1	unknown	unknown	unknown	hCoV-19/Henan/IVDC-546/2022
Sergey A. Bodnev et al	1	unknown	unknown	unknown	hCoV-19/Kyrgyzstan/Kyrg81516-080721/2021
Diana López-Alvarez et al	1	unknown	unknown	unknown	hCoV-19/Colombia/VAC-CI-31641824/2021
Katowa B et al	1	unknown	unknown	unknown	hCoV-19/Zambia/SP252/2021
Lunbiao Cui et al	1	unknown	unknown	unknown	hCoV-19/Jiangsu/JS07/2021
Oluniyi et al	1	unknown	unknown	unknown	hCoV-19/Nigeria/ON204/2021
Malavanh Vongsouvath et al	2	unknown	unknown	unknown	hCoV-19/Laos/LOMWRU-0441/2021,hCoV-19/Laos/LOMWRU-1963/2024
Jayanthi Shastri et al	8	unknown	unknown	unknown	hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG1556/2021,hCoV-19/India/MH-MCGM-ICMR-INSACOG-WG2941/2022,hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG3991/2022,hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG3449/2022,hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG3981/2022,hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG4246/2022,hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG5304/2022,hCoV-19/India/MH-KasturbaMCGM-ICMR-INSACOG-WG5379/2022
Jiratchaya Puenpa et al	1	unknown	unknown	unknown	hCoV-19/Thailand/Bangkok_CU5883/2021
Thanit Sila et al	1	unknown	unknown	unknown	hCoV-19/Thailand/COVPSU-01280/2022
Zohaib Ul Hassan et al	4	unknown	unknown	unknown	hCoV-19/Pakistan/KRISS0360/2021,hCoV-19/Pakistan/KRISS0520/2021,hCoV-19/Pakistan/KRISS0722/2021,hCoV-19/Pakistan/KRISS0575/2021
Patrick Delly et al	1	unknown	unknown	unknown	hCoV-19/Haiti/68220036-ICGES/2021
"""Freeman et al"	1	unknown	unknown	unknown	hCoV-19/USA/SC-6254/2021
C. Paul Morris et al	1	unknown	unknown	unknown	hCoV-19/USA/MD-HP22756-PIDSBNOSCD/2021
Iris Hasibra et al	1	unknown	unknown	unknown	hCoV-19/Albania/IPH-244342/2021
Xhevat Jakupi et al	1	unknown	unknown	unknown	hCoV-19/Kosovo/CO-00420-XXK000_9739/2021
Alvarez M et al	1	unknown	unknown	unknown	hCoV-19/Spain/GA-CHUVI-19432632/2021
Daniel Ehrsam et al	1	unknown	unknown	unknown	hCoV-19/Switzerland/ZH-UZH-IMV-3ba4ccf8/2021
Christophe Rodriguez et al	4	unknown	unknown	unknown	hCoV-19/France/IDF-HMN-21092240247/2021,hCoV-19/France/BFC-HMN-22122090087/2022,hCoV-19/France/PDL-HMN-22042150289/2022,hCoV-19/France/ARA-HMN-22052130393/2022
Lukas Zemaitis et al	1	unknown	unknown	unknown	hCoV-19/Lithuania/LTU000_INMEDICA_1084896/2022
Tatiana Sedláčková et al	1	unknown	unknown	unknown	hCoV-19/Slovakia/UVZ_PL73_A6_33768/2021
Kyriaki Tryfinopoulou et al	3	unknown	unknown	unknown	hCoV-19/Greece/38818/2021,hCoV-19/Greece/34414/2022,hCoV-19/Greece/NPHO-ILI_3766/2023
Mirzakamol S Ayubov et al	2	unknown	unknown	unknown	hCoV-19/Uzbekistan/Tashkent-CGB-35/2021,hCoV-19/Uzbekistan/Tashkent-CGB-04/2020
Xiaoling Tian et al	3	unknown	unknown	unknown	hCoV-19/InnerMongolia/IVDC-EJN-14/2021,hCoV-19/InnerMongolia/IVDC-EJN-5/2021,hCoV-19/InnerMongolia/IVDC-EJN-15/2021
J Yavarian et al	3	unknown	unknown	unknown	hCoV-19/Iran/NIC-K6/2021,hCoV-19/Iran/Tehran-NIC-30/2021,hCoV-19/Iran/Gilan-NIC-9mo-32/2022
Robin Marwal et al	2	unknown	unknown	unknown	hCoV-19/India/MP-NCDC-360939/2021,hCoV-19/India/DL-NCDC-1609128/2021
William K. Ampofo et al	2	unknown	unknown	unknown	hCoV-19/Ghana/FS-21-2666/2021,hCoV-19/Ghana/FS-NIC-23-978/2023
"""N’Faly Magassouba et al"	1	unknown	unknown	unknown	hCoV-19/Guinea/LFHVG-G0424/2021
Syed Muktadir Al Sium et al	2	unknown	unknown	unknown	hCoV-19/Bangladesh/IEDCR-GSB13-087/2021,hCoV-19/Bangladesh/IEDCR-GSB16-097/2022
Esdenka Pérez et al	1	unknown	unknown	unknown	hCoV-19/Bolivia/SAN-CABANA-PE-UPCH-2345/2021
SEARCH Alliance with Jassim Mohammed Abdo et al	5	unknown	unknown	unknown	hCoV-19/Iraq/KR-SEARCH-119886/2021,hCoV-19/Iraq/KR-SEARCH-119976/2021,hCoV-19/Iraq/KR-SEARCH-118888/2021,hCoV-19/Iraq/KR-SEARCH-120026/2021,hCoV-19/Iraq/KR-SEARCH-120412/2022
Dr. Hani Mousa Al-Akabi et al	1	unknown	unknown	unknown	hCoV-19/Iraq/CPHL-180122-40/2022
Jacquelyn Wynn et al	3	unknown	unknown	unknown	hCoV-19/England/ALDP-1686EE1/2021,hCoV-19/England/ALDP-1EF35C4/2021,hCoV-19/England/ALDP-9EA953/2020
Anges Yadouleton et al	2	unknown	unknown	unknown	hCoV-19/Benin/453466/2021,hCoV-19/Benin/M6091/2021
Essomba René Ghislain et al	1	unknown	unknown	unknown	hCoV-19/Cameroon/C132/2021
Dr Essomba Rene Ghislain et al	5	unknown	unknown	unknown	hCoV-19/Cameroon/CERI-NPHL-K026014/2021,hCoV-19/Cameroon/CERI-KRISP-K037193/2021,hCoV-19/Cameroon/LNSP-001-031477/2022,hCoV-19/Cameroon/LNSP-004-191562/2022,hCoV-19/Cameroon/LNSP-004-B034503/2022
Catherine Moore et al	4	unknown	unknown	unknown	hCoV-19/Wales/PHWC-PRAOET/2021,hCoV-19/Wales/CLIMB-CM7Y8RB5/2024,hCoV-19/Wales/CLIMB-CM7YMMXI/2024,hCoV-19/Wales/CLIMB-CM7Y8Z18/2023
Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	4	unknown	unknown	unknown	hCoV-19/Mexico/SON_LANGEBIO_IMSS_4625/2021,hCoV-19/Mexico/BCN_LANGEBIO_IMSS_5771/2022,hCoV-19/Mexico/BCN_LANGEBIO_IMSS_6053/2022,hCoV-19/Mexico/JAL_LANGEBIO_IMSS_5496/2022
Cassandra Campion et al	1	unknown	unknown	unknown	hCoV-19/USA/IN-INSPHL-12028/2021
Cynthia Tang et al	1	unknown	unknown	unknown	hCoV-19/USA/MO-Sysbio-20MU9569NPS/2021
Denise L Lopez et al	1	unknown	unknown	unknown	hCoV-19/USA/CA-TCPHL-092021-13/2021
Ghinwa Dumyati et al	1	unknown	unknown	unknown	hCoV-19/USA/NY-URMC-21081135-1/2021
Yasir Elferruh et al	8	unknown	unknown	unknown	hCoV-19/Syria/Northwest-0025/2021,hCoV-19/Syria/Northwest-0030/2021,hCoV-19/Syria/Northwest-00195/2022,hCoV-19/Syria/Northwest-0133/2022,hCoV-19/Syria/Northwest-0136/2022,hCoV-19/Syria/Northwest-00360/2022,hCoV-19/Syria/Northwest-00361/2022,hCoV-19/Syria/Northwest-00173/2022
Kerala State SARS-COV-2 Genome Surveillance Programme (GENESCOV2) et al	1	unknown	unknown	unknown	hCoV-19/India/KL-GENESCOV06493/2021
Anson Kunjumon George et al	2	unknown	unknown	unknown	hCoV-19/India/KA-NIMH-SEQ-2777/2021,hCoV-19/India/KA-SLS-31084/2022
Tsuyoshi Sekizuka et al B	23	unknown	unknown	unknown	hCoV-19/Japan/PG-172944/2021,hCoV-19/Japan/PG-110900/2021,hCoV-19/Japan/PG-171025/2021,hCoV-19/Japan/PG-113345/2021,hCoV-19/Japan/PG-159968/2021,hCoV-19/Japan/PG-38227/2021,hCoV-19/Japan/PG-70042/2021,hCoV-19/Japan/PG-72284/2021,hCoV-19/Japan/IC-1004/2021,hCoV-19/Japan/PG-35733/2021,hCoV-19/Japan/PG-1927/2020,hCoV-19/Japan/PG-3254/2020,hCoV-19/Japan/PG-7905/2020,hCoV-19/Japan/PG-8440/2020,hCoV-19/Japan/PG-9404/2020,hCoV-19/Japan/PG-10057/2020,hCoV-19/Japan/PG-2177/2020,hCoV-19/Japan/IC-0347/2020,hCoV-19/Japan/PG-18712/2021,hCoV-19/Japan/PG-8360/2020,hCoV-19/Japan/PG-23625/2021,hCoV-19/Japan/IC-2429/2021,hCoV-19/Japan/PG-265438/2022
Naoko Okamoto et al	1	unknown	unknown	unknown	hCoV-19/Japan/PG-150749/2021
Ryuji Kawahara et al	2	unknown	unknown	unknown	hCoV-19/Japan/PG-167749/2021,hCoV-19/Japan/FR027-0040/2024
Shah Jahan et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/UHSPK3-139/2021
Dorcas V. Umipig MD et al	1	unknown	unknown	unknown	hCoV-19/Philippines/PH-SLH-3-6/2021
Laura Bankers et al	5	unknown	unknown	unknown	hCoV-19/USA/CO-CDPHE-26600697/2021,hCoV-19/USA/CO-CDPHE-41794984/2024,hCoV-19/USA/CO-CDPHE-2103794856/2023,hCoV-19/USA/CO-CDPHE-41516272/2023,hCoV-19/USA/CO-CDPHE-41580015/2023
Afrad MH et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/TND-icddrb-01-0166/2021
"""Bratati Kahali"" et al"	1	unknown	unknown	unknown	hCoV-19/India/TN-INSACOG-CBR-S-10700/2021
Mathias Smet et al	2	unknown	unknown	unknown	hCoV-19/Italy/OR01P18430/2021,hCoV-19/Italy/VEN-OR01P18818/2022
Sony Sharma et al	1	unknown	unknown	unknown	hCoV-19/India/KA-NIMH-SEQ-3853/2021
Dr.Rupinder Bakshi et al	1	unknown	unknown	unknown	hCoV-19/India/PB-ICMR-NIV-INSACOG-604895747/2021
Marília Mazzi Moraes et al	3	unknown	unknown	unknown	hCoV-19/Brazil/SP-LPV-SJRP1594/2020,hCoV-19/Brazil/SP-LPV-SJRP443/2020,hCoV-19/Brazil/SP-LPV-SJRP1833/2020
Sandrine Moreira et al	1	unknown	unknown	unknown	hCoV-19/Canada/Qc-JUS-V926067399/2020
Diallo Amadou et al	1	unknown	unknown	unknown	hCoV-19/Senegal/24729/2020
Iglesias-Caballero et al	1	unknown	unknown	unknown	hCoV-19/Spain/CM-ISCIII-216508/2021
Sandoval M et al	1	unknown	unknown	unknown	hCoV-19/Spain/AS-242184471/2021
Nazym Tleumbetova et al	1	unknown	unknown	unknown	hCoV-19/Kazakhstan/ALA-NRL-440S/2021
Son Nguyen et al	1	unknown	unknown	unknown	hCoV-19/Australia/QLD1781/2021
Jurre Y Siegers et al	1	unknown	unknown	unknown	hCoV-19/Cambodia/382381/2021
Leakhena Pum et al	4	unknown	unknown	unknown	hCoV-19/Cambodia/760036/2021,hCoV-19/Cambodia/22-2203074590/2022,hCoV-19/Cambodia/940021/2023,hCoV-19/Cambodia/940304/2023
Jammal N et al	1	unknown	unknown	unknown	hCoV-19/Lebanon/4584/2021
Ozaslan et al	1	unknown	unknown	unknown	hCoV-19/Iraq/Erbil3/2021
Meri Pantsulaia et al	1	unknown	unknown	unknown	hCoV-19/Georgia/Tb-S072/2021
Tomas Zajic et al	1	unknown	unknown	unknown	hCoV-19/CzechRepublic/KNL_2021-050152402/2021
V.Vipat et al	1	unknown	unknown	unknown	hCoV-19/India/GJ-NCDC-NIV-INSACOG-240955/2021
Evgeniya Kazakova et al	2	unknown	unknown	unknown	hCoV-19/Uzbekistan/UZBRIV-383/2021,hCoV-19/Uzbekistan/UZBRIV-375/2021
Jean Ruelle et al	1	unknown	unknown	unknown	hCoV-19/Belgium/MBLG082518/2021
Radosław Charkiewicz et al	1	unknown	unknown	unknown	hCoV-19/Poland/WGS-CoV-PZH-UMB-0028/2021
Giorgio Dirani et al	2	unknown	unknown	unknown	hCoV-19/Italy/EMR-C049_21_04/2021,hCoV-19/Italy/EMR_AUSLRomagna_C080-22-02/2022
Ming Yang et al	6	unknown	unknown	unknown	hCoV-19/Heilongjiang/IVDC-HEB-262/2021,hCoV-19/Heilongjiang/IVDC-SH/259/2021,hCoV-19/Heilongjiang/IVDC-HEB-267/2021,hCoV-19/Heilongjiang/IVDC-HEB-265/2021,hCoV-19/Heilongjiang/IVDC-HEB-266/2021,hCoV-19/Heilongjiang/IVDC-HEB-263/2021
Myriam Seffar et al	1	unknown	unknown	unknown	hCoV-19/Morocco/FMP-249/2021
Catherine E. Arnold et al	2	unknown	unknown	unknown	hCoV-19/Somalia/NAMRU3-Mog-10/2021,hCoV-19/Somalia/NAMRU3_Mog_32/2021
Md. Shamsul Haque Prodhan et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/BCSIR-SUST-03/2021
Antonio Orduña-Domingo et al	1	unknown	unknown	unknown	hCoV-19/Spain/CL-COV04052/2021
Gulmira Kalmambetova et al	1	unknown	unknown	unknown	hCoV-19/Kyrgyzstan/NRL-41589/2021
Samar Ben Halima et al	1	unknown	unknown	unknown	hCoV-19/Tunisia/Tunis-D-3585/2021
Maciej Kosinski et al	3	unknown	unknown	unknown	hCoV-19/Poland/PZH-GUM-1871/2021,hCoV-19/Poland/PZH-GUM-6601/2022,hCoV-19/Poland/PZH-GUM-13377/2022
Muhammad Bilal Sarwar et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/UHS-PAK-S48/2021
Richard T. Ellison III et al	1	unknown	unknown	unknown	hCoV-19/USA/MA-UMASSMED-P025D01/2021
Harper VanSteenhouse et al	3	unknown	unknown	unknown	hCoV-19/England/QEUH-13AA58B/2021,hCoV-19/Scotland/QEUH-319B4C8/2022,hCoV-19/England/QEUH-32596D37/2022
SEARCH Alliance with Shifa Tameer-e-Millat University et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/IS-SEARCH-108020/2021
Pava Dimitrijevic et al	1	unknown	unknown	unknown	hCoV-19/BosniaandHerzegovina/141704/2021
Shin-Ru Shih et al	1	unknown	unknown	unknown	hCoV-19/Taiwan/CGMH-CGU-70/2021
Blankenship HM et al	1	unknown	unknown	unknown	hCoV-19/USA/MI-MDHHS-SC28560/2021
Atit Shah et al	1	unknown	unknown	unknown	hCoV-19/India/GJ-GBRC-444/2020
Thushan de Silva et al	1	unknown	unknown	unknown	hCoV-19/England/SHEF-10CB165/2021
Corina Casangiu et al	1	unknown	unknown	unknown	hCoV-19/Romania/B-12654/2021
Ellie Johnson et al	1	unknown	unknown	unknown	hCoV-19/USA/NM-DOH-2021080121/2021
Knezevic et al	1	unknown	unknown	unknown	hCoV-19/Serbia/Belgrade-3085860703/2021
Dr. Mohammad Al-Forkan et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/icddrb-GEB-CU-41/2021
Hassan Afrad et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/ideSHi-IEDCR-233622/2021
Dominik Strapagiel et al	1	unknown	unknown	unknown	hCoV-19/Poland/WGS-CoV_PZH-LUM-1127/2021
Aristide Berenger Ako AKO et al	1	unknown	unknown	unknown	hCoV-19/Coted-Ivoire/IPCI-cv327/2021
Alla Mironenko et al	2	unknown	unknown	unknown	hCoV-19/Ukraine/HCL021165513901/2020,hCoV-19/Ukraine/Kharkiv-817/2020
Norosoa Razanajatovo et al	4	unknown	unknown	unknown	hCoV-19/Madagascar/IPM-20795/2020,hCoV-19/Madagascar/IPM-32608/2020,hCoV-19/Madagascar/IPM-38146/2020,hCoV-19/Madagascar/IPM-12072/2020
Oluniyi P.E. et al B	1	First African SARS-CoV-2 genome sequence from Nigerian COVID-19 case	unknown	https://virological.org/t/first-african-sars-cov-2-genome-sequence-from-nigerian-covid-19-case/421	hCoV-19/Nigeria/Lagos01/2020
The Lighthouse Lab in Milton Keynes et al	1	unknown	unknown	unknown	hCoV-19/England/MILK-460B27/2020
Ceballos et al	1	unknown	unknown	unknown	hCoV-19/Argentina/PAIS-D0027/2020
Ronnie Gavilan Chavez et al	1	unknown	unknown	unknown	hCoV-19/Peru/ANC-INS-621/2020
Javier Tognarelli et al	1	unknown	unknown	unknown	hCoV-19/Chile/ML-260120/2020
Susan Engelbrecht et al	2	unknown	unknown	unknown	hCoV-19/SouthAfrica/Tygerberg_234/2020,hCoV-19/SouthAfrica/SU-NHLS_4026/2022
Hasnain Javed et al	4	unknown	unknown	unknown	hCoV-19/Pakistan/PB-PPHRL-PACP-64/2021,hCoV-19/Pakistan/PB-PPHRL-PACP-143/2022,hCoV-19/Pakistan/PB-PPHRL-PACP-140/2022,hCoV-19/Pakistan/PB-PPHRL-PACP-160/2022
Sherine Helmy et al	2	unknown	unknown	unknown	hCoV-19/Egypt/PHARCO-ARMY-72/2021,hCoV-19/Egypt/PHARCO-ARMY-93/2021
Mohamed Seadawy et al	1	unknown	unknown	unknown	hCoV-19/Egypt/ARMY-306/2021
Wael H. Roshdy et al	17	unknown	unknown	unknown	hCoV-19/Egypt/CPHL-EGY23324/2020,hCoV-19/Egypt/CPHL-21807/2022,hCoV-19/Egypt/CPHL-21979/2022,hCoV-19/Egypt/CPHL-EGY22755/2022,hCoV-19/Egypt/CPHL-23526/2023,hCoV-19/Egypt/CPHL-EGY23101/2022,hCoV-19/Egypt/CPHL-EGY22663/2022,hCoV-19/Egypt/CPHL-EGY23743/2022,hCoV-19/Egypt/CPHL-23600/2023,hCoV-19/Egypt/CPHL-EGY22994/2023,hCoV-19/Egypt/CPHL-EGY23890/2023,hCoV-19/Egypt/CPHL-EGY22961/2023,hCoV-19/Egypt/CPHL-EGY23036/2023,hCoV-19/Egypt/CPHL-EGY23052/2023,hCoV-19/Egypt/CPHL-EGY23891/2023,hCoV-19/Egypt/CPHL-EGY22996/2022,hCoV-19/Egypt/CPHL-23601/2023
Seadawy et al	1	unknown	unknown	unknown	hCoV-19/Egypt/ARMY-MCL005/2020
Carlos Padilla Rojas et al	15	unknown	unknown	unknown	hCoV-19/Peru/LIM-INS-8453/2020,hCoV-19/Peru/SAM-INS-2418/2021,hCoV-19/Peru/UCA-INS-5044/2021,hCoV-19/Peru/ARE-INS-5661/2021,hCoV-19/Peru/ANC-INS-18765/2022,hCoV-19/Peru/LOR-INS-32306/2022,hCoV-19/Peru/LOR-INS-28842/2022,hCoV-19/Peru/LIM-INS-18570/2022,hCoV-19/Peru/LIM-INS-49031/2024,hCoV-19/Peru/LOR-INS-49398/2024,hCoV-19/Peru/LOR-INS-49791/2024,hCoV-19/Peru/LIM-INS-38698/2023,hCoV-19/Peru/APU-INS-45678/2023,hCoV-19/Peru/LIM-INS-46162/2023,hCoV-19/Peru/LIM-INS-44516/2023
Njouom Richard et al	4	unknown	unknown	unknown	hCoV-19/Cameroon/GAROUA-CoV2166/2021,hCoV-19/Cameroon/V-25371/2022,hCoV-19/Cameroon/15200/2022,hCoV-19/Cameroon/V-00540/2023
Ying Tao et al	1	unknown	unknown	unknown	hCoV-19/USA/GA-CDC-03063103-001/2020
